Customer ID,Recency,Frequency,Monetary,Cluster_K5,Segment
15712.0,9,12,3472.41,2,Champions
12931.0,21,57,92347.34,1,Loyal Customers
17611.0,7,28,8321.980000000003,1,Loyal Customers
16620.0,3,6,1758.93,2,Champions
13381.0,31,12,8224.37,2,Champions
17428.0,0,45,31819.76,1,Loyal Customers
15833.0,737,1,80.4,3,At Risk
17768.0,8,7,3509.5100000000007,2,Champions
14739.0,4,25,12287.5,1,Loyal Customers
14980.0,737,1,150.68,3,At Risk
13089.0,2,203,116737.86000000007,1,Loyal Customers
15989.0,375,2,372.51,3,At Risk
17017.0,2,29,14110.609999999995,1,Loyal Customers
13208.0,59,8,1964.02,2,Champions
16139.0,18,5,1111.15,4,New / Promising
14967.0,49,6,1982.61,2,Champions
12937.0,15,9,3097.61,2,Champions
18051.0,634,7,2282.28,0,Lost / Hibernating
17631.0,1,7,998.49,4,New / Promising
14134.0,382,15,11123.350000000002,2,Champions
12978.0,385,5,2502.819999999999,0,Lost / Hibernating
16736.0,505,5,2956.56,0,Lost / Hibernating
13946.0,79,6,1876.23,2,Champions
16541.0,735,1,424.0299999999999,3,At Risk
13680.0,1,12,11435.669999999993,1,Loyal Customers
13694.0,3,143,196482.81000000003,1,Loyal Customers
13813.0,39,8,2765.47,2,Champions
16104.0,61,9,2778.6100000000006,2,Champions
15260.0,100,25,9188.23,2,Champions
14548.0,150,9,2627.49,2,Champions
13019.0,379,6,1229.95,0,Lost / Hibernating
12471.0,2,75,39832.69999999998,1,Loyal Customers
16717.0,23,14,6986.2300000000005,2,Champions
14136.0,400,5,1570.81,0,Lost / Hibernating
17371.0,17,6,658.55,4,New / Promising
15367.0,57,11,5081.33,2,Champions
12979.0,729,1,517.7000000000002,3,At Risk
15738.0,18,41,13372.97,1,Loyal Customers
14043.0,491,2,304.25,3,At Risk
17958.0,116,2,973.88,0,Lost / Hibernating
17754.0,0,13,4577.529999999999,1,Loyal Customers
14032.0,2,16,4850.269999999999,1,Loyal Customers
15672.0,725,1,45.3,3,At Risk
16749.0,591,2,4387.08,0,Lost / Hibernating
13756.0,2,23,9207.500000000002,1,Loyal Customers
14769.0,2,17,15770.229999999998,1,Loyal Customers
17402.0,4,23,5096.18,1,Loyal Customers
13225.0,3,16,16260.070000000002,1,Loyal Customers
13921.0,402,4,730.7,0,Lost / Hibernating
12609.0,78,9,3435.86,2,Champions
14198.0,18,9,1569.7299999999998,2,Champions
14532.0,236,11,3859.1799999999994,2,Champions
16304.0,694,1,381.6599999999999,3,At Risk
14256.0,260,5,2473.9900000000007,0,Lost / Hibernating
16660.0,16,7,1879.55,2,Champions
15605.0,36,9,1936.8,2,Champions
12789.0,65,3,273.35,4,New / Promising
14420.0,99,4,1639.1699999999998,0,Lost / Hibernating
16954.0,0,20,6081.880000000002,1,Loyal Customers
13555.0,73,13,8999.19,2,Champions
14207.0,687,1,157.8,3,At Risk
14431.0,302,4,2614.2000000000007,0,Lost / Hibernating
14274.0,686,1,256.6,3,At Risk
16822.0,686,1,181.39,3,At Risk
16950.0,56,10,3776.37,2,Champions
13729.0,435,3,724.73,0,Lost / Hibernating
14621.0,1,9,3000.5700000000006,2,Champions
13477.0,37,11,2834.17,2,Champions
15611.0,9,26,2997.28,1,Loyal Customers
15003.0,473,6,1060.7000000000007,0,Lost / Hibernating
12873.0,282,3,2027.3000000000004,0,Lost / Hibernating
12869.0,681,1,337.66999999999996,3,At Risk
17982.0,680,1,138.18,3,At Risk
13392.0,677,1,91.14,3,At Risk
15022.0,11,5,1186.09,4,New / Promising
14370.0,450,6,1175.78,0,Lost / Hibernating
13757.0,674,1,195.55,3,At Risk
15591.0,582,3,217.9,3,At Risk
16788.0,123,5,1948.65,0,Lost / Hibernating
12621.0,1,35,24775.80999999999,1,Loyal Customers
13242.0,112,7,699.4,0,Lost / Hibernating
16873.0,4,12,14617.39,1,Loyal Customers
14072.0,666,1,390.8500000000001,3,At Risk
13446.0,430,11,3881.8899999999994,0,Lost / Hibernating
15425.0,400,4,1944.5699999999997,0,Lost / Hibernating
15538.0,537,6,3358.4,0,Lost / Hibernating
15325.0,103,8,1602.0100000000002,2,Champions
13659.0,205,12,4894.880000000001,2,Champions
15295.0,654,1,217.2399999999999,3,At Risk
14284.0,30,3,1299.65,4,New / Promising
14006.0,115,7,2196.67,2,Champions
13771.0,64,9,5728.82,2,Champions
17534.0,53,5,1668.83,2,Champions
16037.0,269,5,1509.34,0,Lost / Hibernating
17049.0,2,19,9947.48,1,Loyal Customers
12371.0,44,5,4067.38,2,Champions
15094.0,463,2,83.0,3,At Risk
16331.0,432,6,2037.7,0,Lost / Hibernating
17236.0,12,12,1929.26,2,Champions
17065.0,637,2,194.7,3,At Risk
15994.0,54,3,1202.1799999999998,4,New / Promising
12366.0,633,1,500.24,3,At Risk
16199.0,392,7,942.75,0,Lost / Hibernating
16615.0,626,1,291.5,3,At Risk
13900.0,183,6,1610.59,0,Lost / Hibernating
16794.0,1,15,2090.91,1,Loyal Customers
13386.0,414,2,835.46,0,Lost / Hibernating
16630.0,407,1,106.8,3,At Risk
17974.0,24,6,1858.06,2,Champions
12395.0,19,15,5067.2699999999995,2,Champions
17821.0,406,1,334.62,3,At Risk
13140.0,108,5,1215.6799999999998,0,Lost / Hibernating
